name,lat,lng
Planetarium & Observatory Sessenbach,50.476204,7.6443639
Sternwarte Aachen,50.758665,6.070275000000001
"Sternwarte, Greifswaldská universita",54.0949653,13.374584
"Wilhelm-Foerster-Sternwarte (Berlin, Germany)",52.4573997,13.3512043
Universitäts-Sternwarte München,48.145347150881754,11.6068571805954
Peterberg Observatory,49.571349,6.999222
Walter-Hohmann-Sternwarte,51.39382032074739,6.9783514738082895
Neckar-Alb-Sternwarte Nürtingen Hvězdárna,48.61573250000001,9.3382334
Welzheim Observatory,48.8741187,9.596159100000001
Public Observatory Paderborn e.V.,51.7467098,8.709372699999998
Volkssternwarte Köln,50.9230524331105,6.930457949638367
Sternwarte Bautzen,51.1622443,14.4569059
Hohenpeißenberg Meteorological Observatory,47.8014781,11.0095483
Volkssternwarte Adolph Diesterweg,51.11602399999999,13.622403
Physikalischer Verein,50.1169424,8.651475900000003
Sonnenobservatorium Bad Salzschlirf,50.62606499999999,9.4976532
Volkssternwarte Darmstadt,49.8425,8.6619444
Sternwarte der Universität Siegen,50.91008559999999,8.0255016
Fritz-Weithas-Sternwarte,49.27284759999999,11.4864066
Observatory & Planetarium Schwerin,53.61690999999999,11.42288
"Schul-und Volkssternwarte ""Johannes Kepler""",50.81462029999999,12.3832065
Public Observatory Regensburg,49.0174396,12.09044
Volkssternwarte Ennepetal,51.321784,7.399861800000002
Heidelberg-Königstuhl State Observatory,49.3982006,8.724643
Observatory of the University of Applied Sciences Kiel,54.33352,10.180297
Stockert Radio Telescope,50.56930330866795,6.721937656402589
Sternwarte Schauinsland,47.91367380000001,7.904677400000001
EXPO-Sternwarte Melle,52.26262800000001,8.336649999999999
Sternwarte Höfingen,48.81936799999999,9.005622999999998
Sternwarte Zollern-Alb,48.288044,8.677970799999999
Zweibrücken Observatory,49.2614897,7.359572500000001
Sternwarte Riesa,51.299767824956,13.256742954254152
Sternwarte Wendelstein,47.70372049999999,12.0125011
Reutlingen Observatory and Planetarium,48.4976897,9.2147717
Einsteinova věž,52.3861309,13.0655548
Sternwarte Stiftung Volkssternwarte Trebur e.V.,49.92555,8.411299999999999
Universitätssternwarte Pfaffenwald,48.7466267,9.101778600000001
Planetarium und Sternwarte Ursensollen,49.3979553,11.7403443
Dr.-Remeis-Sternwarte,49.8850124,10.8884929
Volkssternwarte Ubbedissen,51.988233,8.629536
Astrophysical Institute and University Observatory,50.92526789999999,11.58292
Historical Observatory Göttingen,51.52867000000001,9.94296
Sonneberg Observatory,50.3770243,11.1902648
Volkssternwarte Berg,47.96048099999999,11.365332
Zeiss Planetarium Drebach,50.673786,13.012821
Observatory of the Natural Scientific Society Osnabrück,52.252702,8.323383
Sternwarten Nordsachsen,51.4502596,12.6263401
Planetarium am Insulaner,52.4576018,13.3494498
Hans-Haffner-Sternwarte,49.793935,9.795971
Alte Sternwarte,51.97655053376605,7.586730122566224
Westfälische Volkssternwarte,51.6237084,7.1805926
Planetarium and Observatory Schneeberg,50.598341,12.6459971
Bodensee Planetarium und Sternwarte,47.64130304568213,9.160526990890505
School Observatory and Planetarium Rodewisch,50.52670453562358,12.415232062339784
Geodetic Observatory Wettzell,49.14503,12.87829
Volkssternwarte Bonn e.V.,50.727643,7.098186000000001
Robert-Mayer-Volks- und Schulsternwarte Heilbronn,49.13936899999999,9.2271403
Leibniz Institute for Astrophysics Potsdam,52.4039373,13.1014067
Verein Suhler Sternfreunde e. V. / Schul- und Volkssternwarte “K. E. Ziolkowski” in Suhl,50.602541,10.698172
Kepler-Sternwarte,48.7525564,8.8601286
Sternwarte Hagen e.V.,51.345536,7.455863199999998
"House of Astronomy, Heidelberg",49.396088,8.724174
Astronomisches Zentrum Schkeuditz,51.39554,12.22558
Zeiss Major Planetarium,52.5429937,13.4280281
Sternwarte Herne,51.52646129946884,7.175413370132446
"Astronomische Station ""Johannes R. Kepler"" Halle-Kanena e.V.",51.4572638,12.0383082
Planetarium Jena,50.9318109,11.5871856
Olbersovo planetárium,53.06987002054073,8.807682394981386
Urania Sternwarte,48.21153889999999,16.38426669999999
Astronomischer Verein der Grafschaft Bentheim e. V.,52.50089999999999,6.969149900000001
Planetarium Mannheim,49.4773238,8.4930371
Astronomische Vereinigung Vulkaneifel am Hohen List e.V.,50.1614331,6.849295
Planetarium Bochum,51.4853995,7.2278444
Effelsberg 100-m Radio Telescope,50.5248229,6.8836239
Carl-Zeiss Planetarium Stuttgart,48.78332,9.186880000000002
Hamburg Planetarium,53.5972593,10.0089411
Förderverein der Dr. Karl Remeis-Sternwarte e.V,49.88500029999999,10.8884971
Brorfelde Observatory,55.6224125,11.6705865
Ole Rømer Observatory,56.127671,10.193164
Wieth-Knudsen Observatoriet,56.0505156,12.0974917
Urania Observatory,57.0287388185341,9.94892477989197
Danmarks Meteorologiske Institut Satellitmodtagestation Smidsbjerg,55.9064608,12.4135423
Samsø Observatorium,55.807997,10.638082
Orion Planetarium,55.359085,9.217755
planetárium Tycho Brahe,55.67453980000001,12.5581583
 Central Geophysical Observatory,50.3920897,30.5321052
Астрономічна обсерваторія ЛНУ імені Івана Франка м,49.8318459,24.02999709999999
Uzhhorodsʹka Observatoriya,48.6334414,22.2984831
Laboratoriya Kosmichnykh Doslidzhenʹ Uzhnu,48.63344009999999,22.2985713
Kharkiv Planetarium named after Yuri Gagarin,49.9957706,36.2286691
"Meteostantsiya, Observatoriya Khnu",50.00249129999999,36.2303082
Observatorio de Aves,43.4446938,-7.8504814
Observatorio Astronomico de Ribadeo,43.5060114,-7.060599799999999
Observatorio Astronómico Municipal de LeónPedro Duque,42.5779126,-5.566777999999999
Observatorio Astronómico de Cantabria,42.7706574,-3.944445600000001
Pamplona Planetarium,42.8085329,-1.6645306
Observatoire de Dax,43.6939411,-1.0316461
Pic du Midi Observatory,42.9370374,0.14117
Centre Astronòmic del Pedraforca,42.2286984,1.7360796
Observatori del Montsec,42.0516552,0.7296973000000001
Observatori de Pujalt,41.71711789999999,1.4240966
Observatori Astronòmic de Castelltallat,41.7937674,1.6323368
Observatori astronòmic Can Roig,41.8267914,2.8962919
Observatori Astronòmic Albanyà,42.3069558,2.7116519
Observatoire du Soler,42.68344930000001,2.7992047
Observatoire du Mont Aigoual,44.1213372,3.581811700000001
Observatoire astronomique d'Aniane,43.6837228,3.6020679
CosmoDrôme - Observatoire Claude Tavenier,44.2035026,5.5104899
Astronomical Observatory Vaison Ventoux,44.2615371,5.0452866
Lyon Observatory,45.6938864,4.7829963
Observatoire Du Mont D'arbois/Mont D'arbois Astronomie,45.85664610000001,6.662943200000001
Observatoire De St-Caprais - Amateurs,43.8738637,1.7184448
GerSpatial SAS,43.9663379,0.5037775999999999
Observatoire Astronomique GAP 47,44.463697,1.000733
Bordeaux Observatory,44.8354911,-0.5235226
Observatoire De Montalon,44.9975637,-0.4529312
Observatoire,48.2932517,2.4328276
Observatory Camille Flammarion,48.6930111,2.3711687
Uranoscope of Ile de France,48.7358651,2.7370133
l'Observatoire de Paris,48.8358623,2.3364328
Observatoire de la Sorbonne - Société Astronomique de France (SAF),48.8487784,2.3436006
Observatoire de Tauxigny,47.2234588,0.8329887
Observatoire Astronomique de Chinon,47.16929299999999,0.2755369999999999
Former Nantes astronomical observatory,47.2115851,-1.5660359
Observatoire Astronomique de la Pointe du Diable,48.3609189,-4.572809100000001
Observatoire Astronomique d'Hesloup,48.398117,0.0298334
Laboratory of astronomy of Lille,50.615111,3.0714733
Observatoire d'Astronomie Namur,50.46568820000001,4.860797100000001
Volkssterrenwacht Armand Pien,51.04559339999999,3.723965
Observatoire royal de Belgique,50.7986591,4.358798799999999
Volkssterrenwacht Mira,50.9345729,4.3688692
Sterrenwacht Limburg,50.92380639999999,5.9801687
Observatory Halley,51.7034259,5.4874249
Foundation Observatory Rijswijk,52.02612990000001,4.3146152
Leiden Observatory,52.1548526,4.483884
Observatory Hellendoorn,52.3658472,6.443682700000001
Cosmos observatory,52.4153219,6.965527499999999
Blaauw Sterrenwacht,53.24018179999999,6.536290900000001
